Name,Age,Height_in_cms,Weight_in_kg,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,CF,RW,CAM,CM,RM,CDM,RWB,CB,RB,OVA
A. Surman,32,177.8,72.45,CM,324,347,305,332,346,195,61,65,68,67,70,73,68,71,67,67,66,74
S. Aluko,31,172.72,61.65,LW,295,338,384,268,265,119,50,62,65,67,66,59,64,49,52,46,50,65
N. Oduwa,24,182.88,70.65,RM,274,282,376,275,264,109,47,62,63,64,62,56,63,50,53,48,51,64
S. Field,22,185.42,64.35000000000001,CM,289,303,308,306,292,190,51,60,61,60,63,66,63,66,64,63,63,67
P. Jagne,29,175.26,78.3,LB,290,325,366,378,321,190,57,67,67,67,66,65,68,66,68,67,67,68
L. Cattermole,31,177.8,77.4,CDM,306,309,303,330,327,209,64,60,59,59,60,64,60,68,65,69,65,69
L. Boyé,24,182.88,78.3,ST,320,315,351,335,301,133,54,69,69,69,68,63,69,56,57,56,55,69
G. Cox,22,170.18,65.7,LB,248,275,337,290,267,180,54,54,56,58,56,56,59,60,63,60,63,65
José Ángel,28,182.88,73.35000000000001,CM,270,321,315,330,335,177,52,60,63,63,64,66,65,66,65,62,63,66
F. Doucouré,19,172.72,60.300000000000004,RB,232,250,384,256,244,182,55,51,53,56,53,53,57,56,61,57,62,64
R. Bingham,25,180.34,74.25,ST,253,243,350,295,222,52,58,60,59,59,57,47,56,36,40,36,38,61
K. Magennis,21,177.8,72.45,CAM,278,323,346,310,280,127,51,61,63,64,64,62,64,56,57,51,55,62
Gayà,25,172.72,65.7,LWB,340,365,410,321,360,245,53,71,76,78,77,78,79,80,82,76,81,83
G. Greer,36,193.04,83.25,CB,223,224,210,215,242,198,63,41,41,41,45,51,43,60,52,64,54,65
Wang Chu,27,177.8,65.7,RM,220,248,323,233,217,130,48,46,51,53,54,54,56,48,50,42,49,55
T. Hara,21,190.5,83.25,ST,280,217,269,338,238,59,49,63,59,57,56,51,56,41,42,41,40,63
T. Haas,22,177.8,75.60000000000001,RB,218,242,316,256,255,186,42,48,52,54,54,56,56,59,61,59,61,63
R. Malone,27,187.96,80.55,CB,194,175,283,273,219,191,56,42,40,40,41,46,42,56,53,62,56,62
P. Mullin,25,177.8,70.65,ST,282,290,307,333,248,98,48,61,59,59,58,52,57,45,46,45,44,61
Victorino Magela,20,187.96,84.15,GK,52,71,228,236,175,28,367,28,29,25,29,28,26,27,23,27,23,74
F. Paredes,21,180.34,73.35000000000001,CB,249,258,358,287,282,179,52,54,56,57,57,58,59,60,61,62,62,62
N. Omladič,30,180.34,71.55,RM,255,349,347,306,293,140,47,58,64,65,66,63,65,56,58,49,55,66
G. Țucudean,28,185.42,84.15,ST,329,273,298,364,300,119,50,70,67,64,65,61,63,53,52,53,52,71
A. Godoy,30,182.88,81.45,CDM,254,303,269,337,308,192,52,59,61,58,63,68,60,70,62,66,61,71
I. Salazar,22,177.8,69.3,LM,249,257,414,273,218,81,48,56,59,62,61,56,63,45,50,39,48,64
André Almeida,29,185.42,79.2,RB,346,349,333,385,344,244,47,71,72,72,73,76,74,79,79,79,78,80
K. Gibbs,30,177.8,69.3,LB,307,327,377,337,342,219,49,66,68,69,69,70,70,72,73,72,73,75
J. Smith,22,172.72,69.3,LM,268,308,378,306,242,109,56,60,63,65,63,59,64,50,54,43,51,65
A. Ramos,34,185.42,77.4,ST,347,308,360,377,318,119,56,72,70,69,68,64,69,57,58,55,56,72
M. Southam-Hales,24,172.72,68.4,RB,233,238,323,248,223,165,68,50,50,52,51,50,52,51,53,52,53,55
M. Tait,19,177.8,67.5,ST,228,205,299,259,201,47,51,52,52,50,50,43,49,32,35,30,33,52
Berto,22,172.72,63.45,LM,286,304,372,272,278,104,39,60,62,64,62,57,63,49,53,43,50,64
F. Mayembo,24,182.88,87.3,CB,222,192,241,325,213,191,56,48,43,42,43,48,45,59,56,65,58,65
B. Grobler,32,182.88,77.4,ST,333,247,350,335,260,94,53,70,68,68,66,58,67,46,53,45,50,70
A. Mora,22,190.5,80.55,CB,221,189,280,283,248,206,57,44,42,42,43,48,45,61,59,68,62,68
T. Cantwell,22,177.8,69.3,CAM,314,359,369,285,279,115,63,68,73,73,74,69,73,55,57,45,53,74
E. Hackman,25,187.96,73.35000000000001,RB,268,277,336,312,262,191,44,58,57,59,56,56,60,63,66,66,66,68
D. Frare,23,187.96,76.5,CB,245,214,272,317,272,203,47,54,51,49,50,53,51,61,59,68,61,69
A. Marchesín,32,187.96,84.15,GK,95,109,317,241,157,52,403,32,35,34,37,36,35,32,30,29,29,82
P. Ochs,30,177.8,70.65,RB,300,339,367,354,337,222,53,63,66,70,68,71,72,73,74,73,74,74
M. Marić,24,190.5,88.2,GK,84,91,226,225,108,51,328,26,26,25,26,25,25,25,25,26,25,65
L. Barnard,30,177.8,67.5,ST,276,242,324,329,280,79,51,60,59,58,58,53,58,46,47,45,45,60
F. Uduokhai,22,193.04,77.4,CB,234,242,333,304,265,226,49,55,55,54,56,61,56,71,66,75,69,75
I. Touré,22,187.96,75.60000000000001,CDM,246,278,329,304,291,175,63,57,60,61,62,63,62,64,62,63,61,63
N. Baumann,24,193.04,82.35000000000001,GK,59,82,176,210,95,52,348,23,23,21,24,24,22,25,21,25,21,70
A. Abrashi,30,172.72,75.60000000000001,CDM,243,275,365,348,326,223,70,57,59,59,60,63,60,70,68,69,68,71
Luiz Henrique,23,170.18,63.45,RM,267,310,360,282,265,122,52,62,67,66,66,63,68,53,57,45,54,66
H. Biggins,24,175.26,67.5,CAM,222,258,308,243,248,149,50,52,57,57,58,58,57,55,54,50,53,58
M. Dyche,17,182.88,69.3,CB,191,184,290,274,229,159,42,43,43,43,44,46,45,52,51,55,52,55
P. Ng,24,180.34,76.5,RB,273,267,335,326,291,190,47,57,59,60,60,61,62,64,65,64,65,67
Y. Rokutan,33,187.96,79.2,GK,64,78,204,197,100,42,312,24,23,21,24,24,22,23,21,24,21,65
Rober Correa,27,180.34,70.65,RB,277,262,340,306,284,205,57,56,57,58,57,59,60,66,67,68,68,70
B. Peacock-Farrell,23,193.04,72.45,GK,90,107,270,240,125,59,346,31,31,29,32,32,31,31,30,30,30,69
M. Catalán,27,180.34,77.4,RB,296,314,361,321,298,195,64,64,64,66,64,63,67,63,67,65,68,70
G. Yow,17,170.18,60.300000000000004,LM,221,217,307,241,222,47,46,50,53,53,52,46,52,35,38,28,35,53
D. Sorgić,30,177.8,69.3,ST,314,323,331,362,286,99,55,68,68,66,68,64,65,52,50,47,48,68
Javi Galán,25,172.72,69.3,LB,318,337,383,316,283,192,52,63,65,67,66,67,69,67,70,65,70,72
M. Sykes,22,182.88,77.4,RM,288,295,348,322,287,180,51,62,64,64,64,64,65,62,63,60,63,64
A. Ismajli,23,185.42,75.60000000000001,CB,200,237,352,267,233,213,58,47,48,49,50,54,51,65,62,69,65,69
E. Valencia,20,175.26,67.5,RM,222,267,331,265,232,122,43,51,56,56,57,56,58,50,51,45,50,56
Rui Silva,26,190.5,90.45,GK,92,107,190,225,146,54,391,31,30,27,30,30,28,29,26,28,26,79
Alan Besseiro,28,175.26,67.5,LB,281,255,380,268,324,179,272,59,62,64,63,61,65,61,64,61,64,66
H. Wright,22,193.04,89.10000000000001,ST,285,243,299,345,228,58,49,63,60,60,58,52,58,40,43,40,41,63
D. Bielica,21,187.96,75.60000000000001,GK,66,75,192,189,101,47,293,22,22,21,24,25,23,24,21,23,21,59
A. Toptik,21,177.8,64.35000000000001,LM,257,260,281,227,209,95,56,51,53,55,53,49,54,40,44,35,41,55
V. Postolachi,20,187.96,79.2,ST,287,265,262,331,279,81,46,63,60,57,58,53,55,45,43,45,42,63
T. Eastman,28,190.5,87.3,CB,204,223,249,306,235,194,72,44,44,45,47,53,48,61,58,64,59,64
J. Kuzdra,22,177.8,70.65,RB,234,234,321,292,246,168,54,50,51,52,52,53,53,56,56,57,57,59
T. Christiansen,19,185.42,79.2,CB,167,155,283,266,185,159,51,40,36,36,35,37,38,46,47,53,49,53
N. Elvedi,23,187.96,77.4,CB,281,270,340,301,301,237,55,58,61,63,63,67,66,75,75,78,76,78
W. Britto B,23,182.88,66.60000000000001,RB,240,239,350,323,270,174,54,54,55,57,56,55,58,58,60,59,60,62
Rafael Camacho,20,175.26,64.35000000000001,CAM,294,331,404,309,294,167,50,68,72,73,72,68,72,61,65,57,63,73
Miguel Veloso,34,180.34,78.3,CM,363,404,306,364,360,197,55,69,71,71,74,77,72,74,70,69,69,77
S. Esposito,19,177.8,69.3,CM,285,326,327,291,298,181,44,59,63,63,65,66,64,63,63,59,62,66
K. Ayer B,20,170.18,61.65,RM,246,249,352,245,245,138,41,51,56,58,57,55,59,52,56,47,54,60
Joan Jordán,25,182.88,73.35000000000001,CM,333,404,335,366,367,197,59,72,76,75,77,79,76,75,72,68,69,79
S. Takahashi,30,170.18,69.3,RB,234,239,344,312,271,176,46,48,50,52,51,54,55,61,63,60,63,65
M. Barać,25,190.5,89.10000000000001,CB,264,271,238,331,270,195,41,55,50,49,50,56,52,64,59,68,61,68
Tomás Esteves,17,180.34,71.55,RWB,249,250,332,247,274,182,42,52,56,60,57,56,61,59,64,61,63,64
S. Leyton,26,177.8,67.5,CM,280,287,321,360,300,174,50,61,61,61,62,63,62,63,63,62,62,64
T. Elphick,32,187.96,84.15,CB,226,242,228,283,239,207,55,48,47,47,49,54,47,63,57,69,59,69
M. Janečka,28,182.88,71.55,CB,230,211,326,278,250,200,48,44,44,50,45,51,53,60,61,65,64,64
R. Babel,33,185.42,84.15,ST,360,352,386,404,314,101,62,78,78,77,77,71,76,57,60,53,56,77
D. John,25,177.8,74.25,LWB,288,316,407,307,287,188,48,62,64,67,64,63,67,64,68,62,68,70
V. Schippers,19,182.88,82.35000000000001,CB,188,197,280,281,232,195,52,45,44,44,42,43,45,52,54,61,56,58
Gerson Rodrigues,25,190.5,80.55,ST,309,284,315,354,288,115,53,69,67,67,64,60,67,55,58,55,56,68
E. Zuelli,18,180.34,69.3,CAM,275,324,331,308,282,178,44,57,59,60,61,61,60,60,60,57,60,61
C. Duke,19,167.64000000000001,58.5,CAM,224,234,332,250,250,135,58,52,54,53,54,53,53,51,51,48,51,53
R. Veselinović,21,187.96,76.5,CB,187,158,276,259,198,190,62,38,35,36,36,42,39,55,53,61,57,61
J. Jones,35,182.88,77.4,CDM,337,339,331,395,364,206,43,70,69,68,69,71,69,72,70,73,69,73
K. Smoliński,19,175.26,60.300000000000004,CAM,231,244,303,248,226,147,48,49,52,52,53,52,52,51,51,50,51,52
D. Fleitas,23,180.34,83.25,ST,304,239,277,328,218,51,50,61,58,58,57,51,57,39,42,36,40,61
R. Kruse,31,177.8,69.3,LM,325,316,361,321,305,113,66,67,69,69,68,64,68,54,57,49,54,69
L. Lauberbach,22,193.04,87.3,ST,312,277,319,339,252,109,47,64,63,63,62,59,63,52,53,49,51,64
S. Lletget,27,177.8,74.25,RM,324,324,361,329,309,180,49,68,70,70,70,70,71,67,68,63,66,70
J. Becerra,22,180.34,78.3,ST,283,255,307,314,254,74,41,60,57,57,56,51,56,43,45,41,42,60
I. Zurita,28,167.64000000000001,60.300000000000004,LB,267,303,352,295,285,182,51,57,60,62,61,61,63,62,64,58,62,64
O. Rimmen,19,170.18,67.5,CAM,221,251,331,257,258,125,58,50,52,53,53,52,53,49,50,45,48,52
A. Uchida B,32,175.26,66.60000000000001,RB,275,312,316,311,311,211,70,59,63,64,65,68,66,69,68,68,67,69
T. Bourdal,21,182.88,77.4,CB,204,178,309,282,227,189,45,43,40,41,41,46,44,56,56,60,59,61
Somália,30,180.34,72.45,RM,312,315,370,349,343,189,44,67,69,70,69,69,70,69,70,65,69,70
K. Zohore,26,193.04,95.4,ST,303,280,283,330,299,46,36,70,66,62,62,56,61,46,46,44,43,70
A. Ocejo,22,180.34,70.65,CAM,274,301,339,288,240,109,45,60,63,64,63,58,63,48,52,42,49,64
B. Hanlan,23,182.88,82.35000000000001,ST,267,266,377,364,221,104,37,62,60,61,57,52,60,45,51,45,49,62
L. Ortíz,20,170.18,65.7,RM,280,273,339,297,275,119,54,59,61,62,62,59,63,52,54,48,52,62
G. Honeyman,25,170.18,71.55,RM,292,321,351,304,308,200,60,63,66,66,66,65,67,64,65,62,64,66
B. Sarpong-Wiredu,20,185.42,75.60000000000001,RM,235,246,318,284,240,146,55,52,54,56,55,54,57,53,56,51,55,57
Agus Medina,25,177.8,71.55,RB,242,231,337,248,255,195,57,52,54,55,54,55,56,59,61,61,62,64
H. Preciado,26,182.88,76.5,ST,323,269,400,375,324,89,51,71,71,70,69,62,68,52,53,49,51,71
Andoni López,24,187.96,75.60000000000001,LB,258,237,323,276,254,201,39,50,53,56,54,57,59,63,67,64,67,69
Edgar Costa,33,177.8,72.45,RM,330,355,343,351,324,127,60,68,68,69,68,65,68,58,58,54,56,69
Gervinho,33,177.8,64.35000000000001,LW,353,337,421,317,305,79,54,73,77,78,76,70,78,55,59,46,55,78
L. Maloney,19,187.96,88.2,CB,248,257,299,296,237,159,54,51,51,52,53,53,53,56,55,57,54,58
M. Taremi,27,187.96,81.45,ST,355,340,340,368,267,89,52,77,77,76,75,68,74,52,54,46,51,77
Fábio Cardoso,26,187.96,78.3,CB,217,226,315,315,264,215,56,51,50,49,51,56,52,67,64,72,66,72
G. Herrera,28,187.96,82.35000000000001,GK,101,91,297,247,148,56,369,32,32,31,32,30,32,30,31,31,31,75
F. Aksoy,22,187.96,77.4,CB,245,247,231,284,260,203,51,52,53,51,55,60,54,65,60,66,61,66
D. Valdés,26,177.8,74.25,CAM,336,359,364,367,317,144,45,72,73,73,74,72,73,65,65,59,63,72
F. Totti,39,180.34,81.45,CAM,386,423,275,337,350,48,53,75,79,78,82,78,77,57,52,40,45,80
Li Xuebo,20,187.96,74.25,GK,61,55,157,160,87,29,245,19,19,18,20,20,19,19,17,18,17,49
T. Freeman,17,180.34,69.3,ST,208,210,323,221,207,48,51,51,51,50,49,40,48,30,33,29,32,51
J. Gammelby,25,193.04,80.55,RM,294,292,323,334,276,176,58,62,63,63,63,62,64,61,63,61,63,65
S. Kums,32,175.26,72.45,CM,332,384,335,346,359,214,60,66,70,71,73,75,72,75,73,69,71,75
M. Gallagher,19,182.88,74.25,CAM,232,248,294,248,256,150,55,50,52,52,53,53,52,53,52,52,52,53
M. Tenho,25,190.5,81.45,CB,184,194,254,257,221,178,47,41,41,41,43,48,44,57,53,61,55,61
P. Méndez,21,167.64000000000001,61.65,CAM,231,262,335,306,248,109,45,56,60,60,62,60,60,53,51,46,48,62
B. Alıcı,22,180.34,69.3,RW,298,328,378,286,274,102,46,63,67,69,67,61,69,50,55,42,51,70
Crysan,23,193.04,84.15,CAM,298,310,341,347,260,47,54,65,66,66,66,59,65,44,46,38,42,65
Filipe Ferreira,29,177.8,71.55,LB,285,319,360,330,309,204,64,61,64,65,64,65,67,68,70,67,70,72
B. Höwedes,31,187.96,76.5,CB,301,293,297,304,320,236,46,60,59,58,60,64,60,72,68,77,70,79
Michu,30,190.5,77.4,ST,353,334,278,343,331,113,53,75,73,68,72,69,68,59,54,55,53,73
A. Diawusie,22,177.8,74.25,ST,290,229,396,322,241,65,43,64,65,66,63,53,64,43,50,41,47,65
Carlos Castro,24,177.8,67.5,ST,293,280,368,342,275,94,57,63,63,63,62,57,63,49,52,46,50,64
F. Hartherz,27,187.96,82.35000000000001,LB,292,332,327,376,294,193,56,62,62,63,62,65,65,67,69,68,68,70
P. Mamić,24,182.88,79.2,LB,223,238,332,259,244,182,40,48,51,55,52,54,57,59,62,59,62,64
W. Bianda,20,185.42,81.45,CB,189,211,251,250,224,191,56,42,42,42,43,47,44,56,53,62,55,62
Matheus Reis,25,182.88,76.5,LB,306,317,346,346,314,219,51,65,67,68,67,68,70,72,74,73,74,76
R. Ferrario,20,187.96,79.2,GK,65,81,157,164,100,32,267,21,21,19,22,22,20,20,18,19,17,53
B. Berisha,34,182.88,79.2,ST,327,263,312,349,335,55,64,68,65,63,64,58,62,49,48,47,45,68
G. Caprari,26,175.26,71.55,CAM,321,371,418,288,243,47,48,69,74,75,75,66,74,46,51,33,46,74
A. Fuentes,22,190.5,84.15,CDM,228,244,292,305,264,207,66,52,54,53,56,61,56,67,63,66,65,68
K. Appiah,28,180.34,79.2,ST,273,261,371,320,256,88,43,61,60,61,58,53,60,47,51,45,49,62
O. Vlachodimos,26,187.96,76.5,GK,81,90,274,247,133,43,390,30,30,28,31,30,29,30,28,29,28,81
S. Beavon,33,170.18,68.4,ST,293,277,374,366,309,70,65,62,61,62,60,56,62,50,52,46,49,63
D. Ball,24,185.42,74.25,CDM,247,240,310,307,282,194,61,55,56,55,57,61,58,66,63,66,63,67
P. Nardi,26,187.96,81.45,GK,82,82,253,196,126,39,360,28,29,27,31,30,28,28,25,26,25,73
Dai Lin,32,190.5,76.5,CB,246,278,297,364,294,198,57,57,55,53,54,57,54,63,61,67,62,67
J. Rankin-Costello,20,182.88,63.45,RM,267,280,345,280,254,172,46,59,61,63,62,59,63,57,60,55,59,63
Theo Ryuki,22,177.8,68.4,CAM,279,302,336,281,256,92,60,59,63,64,64,58,63,47,48,41,45,65
J. Kucka,33,185.42,83.25,CB,356,365,316,427,383,232,54,74,74,72,74,77,73,78,75,79,75,77
C. Devlin,22,170.18,67.5,CDM,257,292,361,286,327,198,45,58,62,63,64,65,64,67,66,64,65,65
A. Badri,29,177.8,69.3,RW,324,329,377,341,265,67,48,69,70,71,69,62,70,47,52,41,48,71
D. Nistor,32,175.26,73.35000000000001,CM,313,348,367,362,348,177,54,66,70,70,72,73,72,69,69,62,66,73
A. Bayındır,22,198.12,72.45,GK,77,70,145,183,101,37,363,24,22,19,22,24,21,23,20,23,19,73
J. Norwood,29,180.34,72.45,ST,304,297,353,355,295,104,55,67,66,64,63,59,64,52,53,51,52,67
D. Di Gennaro,32,180.34,71.55,CAM,312,353,337,324,315,167,54,63,66,66,67,66,66,63,62,60,61,66
N. Briasco,24,177.8,81.45,ST,284,268,327,329,247,53,35,66,64,62,62,55,61,42,45,38,42,66
J. Horn,33,187.96,82.35000000000001,CB,203,191,293,306,245,186,45,46,45,44,47,53,48,62,58,65,60,65
J. Eccles,20,185.42,65.7,CDM,246,239,345,261,263,164,42,51,53,54,55,55,56,57,57,57,57,58
J. Onomah,23,185.42,69.3,CAM,297,316,357,315,275,161,50,66,69,68,69,67,68,62,61,57,60,67
J. Taylor,33,185.42,70.65,CM,259,254,286,337,297,178,47,54,54,54,55,59,56,62,59,62,59,59
K. Naughton  B,31,180.34,72.45,RB,303,270,346,332,295,213,51,61,62,63,63,66,65,69,69,69,69,71
M. Edwards,21,167.64000000000001,64.35000000000001,LM,298,356,430,287,278,98,55,68,75,77,75,69,76,54,59,42,55,77
J. Haak,18,182.88,74.25,CDM,197,221,274,233,237,148,52,45,48,48,49,49,48,50,47,50,48,49
L. Aued,33,177.8,68.4,CM,339,353,309,355,356,199,43,70,71,70,72,75,72,72,69,69,68,75
J. Carabalí,23,175.26,68.4,CAM,223,259,318,288,269,144,45,54,59,59,61,61,59,57,56,54,55,61
Luiz Adriano,31,182.88,79.2,ST,368,321,371,373,294,84,57,77,77,75,75,67,74,51,55,47,52,78
A. Bredahl,17,182.88,73.35000000000001,ST,231,212,303,259,201,56,58,52,52,51,51,45,50,36,38,33,37,52
Sidney Pessinho,28,187.96,84.15,CDM,309,378,319,374,344,232,48,66,68,68,69,73,70,76,75,76,74,77
J. Davidson,19,185.42,80.55,CB,198,215,276,251,203,136,46,43,43,44,45,45,45,48,47,49,48,49
D. Quiñones,21,167.64000000000001,62.550000000000004,RWB,262,280,365,317,256,180,54,55,57,60,58,59,62,60,65,60,64,66
K. Fischer,19,182.88,76.5,LB,221,250,327,241,231,179,53,47,51,53,52,54,55,58,60,58,60,62
R. Hutchinson,20,177.8,74.25,LB,220,228,326,247,224,172,48,47,50,53,50,51,55,55,60,56,60,62
R. Civelli,36,195.57999999999998,91.35000000000001,CB,302,244,195,355,318,207,59,59,53,50,52,58,52,67,60,72,62,72
Lee Gwang Yeon,20,182.88,84.15,GK,61,70,177,192,89,34,286,20,19,18,20,21,19,22,18,22,18,59
T. Allan,20,180.34,69.3,ST,260,232,353,274,226,68,49,60,60,61,57,48,59,36,44,34,42,60
A. García,18,180.34,68.4,CAM,277,278,312,280,211,96,52,57,59,60,59,55,59,45,48,38,45,60
F. Grahl,28,170.18,67.5,CM,284,332,304,295,273,164,52,58,60,61,63,63,63,61,60,56,58,63
Y. Alounga,18,182.88,79.2,ST,244,219,300,289,212,56,58,56,54,53,52,45,51,35,38,35,37,56
F. Pérez,34,180.34,74.25,CB,229,244,295,335,248,194,52,53,51,51,52,58,55,65,62,67,63,67
Ganso,28,182.88,77.4,CAM,361,398,259,304,328,90,53,69,72,71,74,73,71,59,55,47,50,75
M. Beister,29,180.34,79.2,RM,308,312,373,342,304,104,48,66,67,67,66,60,66,53,57,50,54,67
D. Texeira,28,182.88,68.4,ST,314,295,328,353,279,66,51,68,66,64,64,58,63,47,47,44,45,69
J. Urretaviscaya,30,175.26,62.550000000000004,RW,331,356,393,340,291,94,56,70,73,74,73,67,73,53,57,46,54,74
R. Durmisi,26,167.64000000000001,66.60000000000001,LWB,325,352,376,357,323,211,44,67,69,70,70,70,71,71,73,70,72,74
T. Gray,17,180.34,73.35000000000001,CB,139,143,265,245,197,157,47,34,34,34,34,37,36,46,46,51,48,51
O. Kossounou,19,190.5,77.4,CB,243,235,314,272,245,198,35,49,52,55,54,57,58,64,65,67,65,67
G. Konan,24,175.26,70.65,LWB,304,323,381,329,321,211,37,64,68,70,70,71,73,72,75,70,74,76
I. Sauter,19,182.88,78.3,CB,210,208,330,294,215,165,51,48,48,49,48,49,51,53,55,56,56,56
J. Doyle-Hayes,20,175.26,67.5,CAM,254,256,353,284,275,156,41,56,59,60,61,61,61,59,60,55,59,62
A. Fisher,30,190.5,79.2,ST,259,246,319,323,232,57,56,61,59,57,56,50,56,40,42,38,40,61
M. Fellaini,32,193.04,84.15,CB,374,323,281,394,380,226,54,75,72,68,71,75,69,77,71,79,72,75
J. Akintunde,24,175.26,74.25,ST,211,179,298,263,182,56,50,48,47,46,45,40,45,33,36,31,35,48
H. Nielsen,26,187.96,81.45,ST,336,304,334,368,308,112,72,70,70,70,70,67,70,58,59,53,56,70
A. Linguet  B,20,180.34,71.55,RB,199,192,302,223,225,180,48,41,43,45,43,44,47,50,54,54,55,57
U. Rivas,24,177.8,70.65,CDM,298,339,315,378,312,208,56,62,65,65,67,71,67,73,71,69,70,71
V. Rongier,25,172.72,69.3,CM,330,387,364,366,348,231,49,70,75,74,77,80,75,78,75,71,73,80
A. Pițian,24,193.04,88.2,CB,196,167,245,265,212,181,52,43,41,41,42,45,43,55,53,62,55,62
A. Turan,28,175.26,78.3,LB,258,350,368,336,323,195,59,61,64,65,65,67,66,68,68,64,67,69
B. Johnson,20,180.34,69.3,RB,223,252,344,257,235,177,56,49,51,54,51,52,55,56,60,57,60,62
S. Graham,19,187.96,79.2,CB,177,155,307,260,182,168,58,40,36,37,36,38,39,49,49,56,52,56
M. Nzola,23,185.42,81.45,ST,304,286,357,353,264,72,60,68,65,65,63,57,64,47,50,45,49,68
A. Chindriș,21,190.5,84.15,CB,224,192,341,300,247,200,49,49,48,49,50,54,51,63,62,67,64,67
C. Tosun,29,182.88,77.4,ST,359,351,349,372,328,82,59,75,72,71,70,65,70,54,54,50,51,75
F. Bambock,25,180.34,75.60000000000001,CB,243,264,314,355,308,206,41,57,58,57,59,62,59,68,65,69,65,69
J. Sánchez Miño,30,177.8,77.4,CM,356,375,357,367,363,215,59,72,74,75,75,76,76,74,75,71,73,75
J. Sánchez,32,177.8,76.5,CDM,309,326,348,350,318,195,52,65,65,66,66,67,66,67,66,66,66,68
R. Castro,30,180.34,69.3,CDM,232,255,314,252,271,188,66,49,53,54,56,60,58,64,63,60,63,65
A. Zerbin,21,182.88,79.2,CAM,256,264,232,221,218,95,42,51,52,53,53,49,51,41,41,37,39,53
Edu Expósito,23,177.8,66.60000000000001,CM,292,315,315,309,352,190,46,68,73,71,75,76,71,72,67,63,65,76
A. Sissako,22,185.42,77.4,CDM,288,293,332,341,315,198,45,63,65,64,66,67,66,68,67,68,67,69
N. Anelka,34,185.42,79.2,ST,373,349,333,382,313,72,45,76,76,75,76,67,73,56,54,47,49,77
B. Rabello,25,167.64000000000001,69.3,CAM,301,350,372,353,285,86,62,65,67,69,69,65,68,53,53,44,49,70
K. Nwakali,22,180.34,75.60000000000001,CAM,281,318,350,298,266,122,54,63,66,66,66,63,65,54,55,49,54,63
A. Khurana,27,185.42,80.55,CB,189,182,242,280,220,171,60,42,40,40,41,45,42,54,52,59,54,59
K. Tshiembe,23,185.42,82.35000000000001,CB,198,209,307,268,218,174,47,45,44,45,45,49,48,58,57,62,58,62
W. Faghir,16,185.42,79.2,ST,241,213,307,305,210,52,50,58,56,54,53,46,52,36,38,35,37,58
L. Dickmann,23,177.8,69.3,RB,269,278,340,302,282,215,39,57,60,62,60,61,63,65,68,65,68,70
J. Pretell,21,170.18,65.7,CDM,280,316,345,326,294,194,49,58,59,60,61,64,62,66,65,63,65,67
J. Clarke,25,172.72,69.3,RB,259,269,366,308,269,172,50,59,61,62,60,59,62,60,62,59,62,64
D. Kourmpelis,26,180.34,73.35000000000001,CDM,255,322,353,350,300,217,50,58,60,62,62,66,64,72,71,71,71,73
Pedrinho,31,167.64000000000001,61.65,CF,267,282,213,254,270,87,69,70,70,74,73,68,74,63,62,53,58,72
M. Wakaso,29,170.18,71.55,CM,339,341,416,399,354,223,62,72,73,73,72,72,73,74,75,75,75,72
P. Aguilar,33,177.8,77.4,CB,284,257,295,343,297,223,55,57,55,53,55,59,54,69,63,75,66,75
B. Sosa,22,185.42,76.5,LWB,282,299,357,287,251,188,39,56,60,63,62,63,66,65,68,64,67,69
Lucas Fernandes,26,175.26,64.35000000000001,RM,310,291,389,301,247,98,55,65,68,69,68,60,68,48,52,41,49,69
T. Rosický,36,177.8,71.55,CAM,338,392,382,331,348,133,55,71,76,77,78,75,77,64,66,54,62,79
M. Reinthaler,25,193.04,82.35000000000001,CB,259,268,301,297,263,191,50,54,54,54,55,57,56,61,60,64,61,64
Y. Wakizaka,25,172.72,67.5,CAM,302,351,338,310,274,143,37,63,67,68,69,68,68,59,60,51,57,69
Rildo,29,180.34,67.5,LM,294,322,386,326,274,101,51,69,70,71,69,62,70,52,57,47,54,71
E. Orrantía,29,175.26,62.550000000000004,RB,271,303,362,315,271,172,57,57,60,63,62,62,65,61,64,58,63,65
L. Mifflin,20,182.88,75.60000000000001,LB,246,249,324,299,269,174,55,53,54,56,54,56,57,60,62,62,62,64
V. Bozhikov,32,185.42,79.2,CB,248,188,311,279,256,205,46,48,47,50,49,52,51,62,62,67,63,67
M. Diagne,26,187.96,74.25,CB,223,209,325,298,223,204,40,45,44,45,45,50,48,63,61,68,64,68
R. Krunić,26,182.88,73.35000000000001,CAM,356,368,344,366,334,198,59,72,73,73,73,73,72,69,69,67,68,73
S. Tibbling,25,175.26,73.35000000000001,CM,298,323,361,302,308,170,63,64,67,68,68,69,69,66,66,60,64,69
T. Gutiérrez,35,177.8,80.55,CF,364,357,328,351,329,67,57,74,75,73,75,69,72,53,50,47,47,74
Lucas Tagliapietra,29,193.04,89.10000000000001,CB,211,189,221,266,237,192,48,44,42,41,42,48,44,61,56,67,58,67
K. Vermeer,34,180.34,77.4,GK,106,126,307,235,175,44,366,34,39,37,42,41,39,36,33,30,31,75
M. Lanzini,27,167.64000000000001,58.5,CAM,337,393,396,325,299,88,51,71,76,77,78,72,77,55,57,43,53,78
S. Weissman,24,175.26,71.55,ST,364,312,369,336,309,54,43,75,74,72,72,64,71,48,50,42,47,75
